subsystem,item,qty,status,selection_notes,local_source,unit_cost_iqd,total_cost_iqd
EMG,Surface EMG sensor,2,select,"Start with reliable analog output modules; final choice after signal testing",,,
Control,MCU development board,1,select,"ESP32 acceptable for bench; STM32-class MCU preferred for mature embedded control",,,
Control,Motor driver with current sense,3,select,"Must support chosen motor current and fault protection",,,
Actuation,Index actuator,1,select,"Geared DC motor with encoder preferred",,,
Actuation,Three-finger differential actuator,1,select,"Higher torque requirement than index",,,
Actuation,Thumb actuator,1,select,"Selection follows thumb mechanism test",,,
Mechanical,High-strength tendon line,1,select,"Low stretch, abrasion resistant",,,
Mechanical,Return springs / elastic elements,1,select,"Tune per finger module",,,
Mechanical,Stainless pins / shafts,1,select,"Wear-critical joints",,,
Mechanical,M2/M3 fasteners,1,select,"Use locking strategy where needed",,,
Power,Protected 2S battery pack,1,later,"Wearable integration after bench validation",,,
Power,Fuse / protection,1,later,"Independent of software",,,
Sensors,Optional fingertip/contact sensors,2,later,"Only if current sensing is insufficient",,,
Materials,Functional-print filament/material,1,select,"Prototype locally; final material after cycle/heat tests",,,
Interface,Socket/liner materials,1,later,"Chosen with biomedical/prosthetics input",,,
